<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
4294967295.2025.11	01:00:00	0.00	109534.55	109723.85	109448.25	4682273369568470630	321	0
4294967295.2025.11	01:00:15	0.00	109675.95	109769.95	109548.25	4682269535021668762	223	0
4294967295.2025.11	01:00:30	0.00	109617.65	109702.85	109587.95	4682267459693471334	202	0
4294967295.2025.11	01:00:45	0.00	109591.15	109601.95	109529.75	4682264813993616998	114	0
4294967295.2025.11	01:01:00	0.00	109546.25	109583.85	109509.65	4682261859056117350	107	0
4294967295.2025.11	01:01:15	0.00	109509.65	109599.85	109509.65	4682267116096087654	81	0
4294967295.2025.11	01:01:30	0.00	109586.15	109627.15	109487.85	4682269699948412928	159	0
4294967295.2025.11	01:01:45	0.00	109623.75	109659.45	109571.75	4682266222742890086	97	0
4294967295.2025.11	01:02:00	0.00	109576.45	109615.95	109379.75	4682257076180536525	223	0
4294967295.2025.11	01:02:15	0.00	109433.45	109532.65	109355.75	4682261089397977907	161	0
4294967295.2025.11	01:02:30	0.00	109498.45	109588.05	109398.35	4682267246663093453	137	0
4294967295.2025.11	01:02:45	0.00	109582.95	109722.75	109582.95	4682274551543470490	169	0
4294967295.2025.11	01:03:00	0.00	109694.35	109863.75	109686.85	4682277334682278298	180	0
4294967295.2025.11	01:03:15	0.00	109734.85	109899.85	109668.75	4682288673395939738	153	0
4294967295.2025.11	01:03:30	0.00	109899.85	110021.10	109748.15	4682281018046231347	182	0
4294967295.2025.11	01:03:45	0.00	109794.75	109823.45	109697.05	4682274737086057677	92	0
4294967295.2025.11	01:04:00	0.00	109694.45	109725.15	109492.05	4682268229351610778	160	0
4294967295.2025.11	01:04:15	0.00	109602.35	109757.65	109602.35	4682269143320651366	149	0
4294967295.2025.11	01:04:30	0.00	109615.65	109637.15	109443.35	4682266573212221440	208	0
4294967295.2025.11	01:04:45	0.00	109583.45	109838.05	109583.45	4682278406706115379	158	0
4294967295.2025.11	01:05:00	0.00	109750.45	109912.25	109750.45	4682286646171376026	144	0
4294967295.2025.11	01:05:15	0.00	109870.35	110179.65	109870.35	4682295297953497088	289	0
4294967295.2025.11	01:05:30	0.00	110001.05	110248.15	109988.15	4682305612746955162	218	0
4294967295.2025.11	01:05:45	0.00	110140.85	110280.35	110088.15	4682309639708291891	193	0
4294967295.2025.11	01:06:00	0.00	110209.75	110534.55	110206.25	4682312154841140429	360	0
4294967295.2025.11	01:06:15	0.00	110238.15	110335.65	110072.13	4682313439895355392	222	0
4294967295.2025.11	01:06:30	0.00	110260.25	110353.95	110170.05	4682312931371227546	192	0
4294967295.2025.11	01:06:45	0.00	110252.85	110317.15	110178.60	4682313494870936781	189	0
4294967295.2025.11	01:07:00	0.00	110256.05	110300.35	110050.85	4682299744103641907	197	0
4294967295.2025.11	01:07:15	0.00	110058.45	110154.85	110008.55	4682303606138234470	182	0
4294967295.2025.11	01:07:30	0.00	110119.95	110358.85	110076.35	4682312924499279872	179	0
4294967295.2025.11	01:07:45	0.00	110252.75	110252.75	110069.75	4682302595961926451	120	0
4294967295.2025.11	01:08:00	0.00	110098.35	110136.25	109993.15	4682297620671810765	141	0
4294967295.2025.11	01:08:15	0.00	110034.85	110040.75	109970.05	4682295263593758720	107	0
4294967295.2025.11	01:08:30	0.00	109996.45	110141.85	109920.05	4682291319095794074	191	0
4294967295.2025.11	01:08:45	0.00	109938.35	109977.75	109920.05	4682293476887363584	118	0
4294967295.2025.11	01:09:00	0.00	109973.85	110096.75	109953.15	4682296335617595802	160	0
4294967295.2025.11	01:09:15	0.00	110011.35	110165.95	110011.35	4682305324125152870	177	0
4294967295.2025.11	01:09:30	0.00	110144.90	110217.15	110031.75	4682300101444920934	184	0
4294967295.2025.11	01:09:45	0.00	110066.15	110066.15	109978.25	4682298252890996736	141	0
4294967295.2025.11	01:10:00	0.00	110039.95	110128.95	110039.95	4682303633626025165	60	0
4294967295.2025.11	01:10:30	0.00	110163.95	110178.95	110138.15	4682305049247245926	57	0
4294967295.2025.11	01:10:45	0.00	110138.15	110237.85	110138.15	4682309921458146509	134	0
4294967295.2025.11	01:11:00	0.00	110209.05	110209.05	110130.65	4682309715299716301	124	0
4294967295.2025.11	01:11:15	0.00	110206.05	110222.25	110095.85	4682306052551606272	94	0
4294967295.2025.11	01:11:30	0.00	110152.25	110152.25	109935.85	4682293126418032230	122	0
4294967295.2025.11	01:11:45	0.00	109964.65	110088.05	109934.85	4682292872155968307	123	0
4294967295.2025.11	01:12:00	0.00	109965.05	110065.15	109808.85	4682286213238672589	165	0
4294967295.2025.11	01:12:15	0.00	109865.95	109991.95	109865.95	4682293449399572890	92	0
4294967295.2025.11	01:12:30	0.00	109969.35	110044.65	109942.95	4682298623976171110	78	0
4294967295.2025.11	01:12:45	0.00	110044.65	110139.35	110034.05	4682303812296664678	108	0
4294967295.2025.11	01:13:00	0.00	110125.65	110189.95	110125.65	4682306135014978355	76	0
4294967295.2025.11	01:13:15	0.00	110153.95	110159.95	110015.15	4682296596751607398	92	0
4294967295.2025.11	01:13:30	0.00	110015.15	110066.15	109959.15	4682300039597391872	87	0
4294967295.2025.11	01:13:45	0.00	110065.25	110159.35	110044.35	4682302671553350861	92	0
4294967295.2025.11	01:14:00	0.00	110108.95	110169.95	110067.25	4682300177036345344	97	0
